,uiLogName,variationPercentage,numberOfOccurrancesToBeDiscovered,motifLength,percentageMotifsOverLog,logLength,motifSpots,caseIds,motifsToBeDiscovered
13,LenLog_1_1_10_20_5_4000.csv,0,10,20,5,4000,"[3243, 2742, 1977, 1358, 1316, 1248, 749, 594, 392, 42]","[430121705000000, 430121705000000, 430121705000000, 430121705000000, 430121705000000, 430121705000000, 430121705000000, 430121705000000, 430121705000000, 430121705000000]",1
14,LenLog_1_1_10_25_5_5000.csv,0,10,25,5,5000,"[4420, 4104, 2263, 1932, 1904, 1397, 775, 712, 644, 499]","[1010215011000000, 1010215011000000, 1010215011000000, 1010215011000000, 1010215011000000, 1010215011000000, 1010215011000000, 1010215011000000, 1010215011000000, 1010215011000000]",1
15,LenLog_1_1_10_5_10_500.csv,0,10,5,10,500,"[493, 460, 428, 366, 307, 292, 282, 264, 233, 104]","[1028102022000000, 1028102022000000, 1028102022000000, 1028102022000000, 1028102022000000, 1028102022000000, 1028102022000000, 1028102022000000, 1028102022000000, 1028102022000000]",1
16,LenLog_1_1_10_10_10_1000.csv,0,10,10,10,1000,"[905, 697, 620, 535, 507, 439, 417, 360, 248, 224]","[306092741000000, 30609274100000, 30609274100000, 30609274100000, 30609274100000, 30609274100000, 30609274100000, 30609274100000, 30609274100000, 30609274100000]",1
17,LenLog_1_1_10_15_10_1500.csv,0,10,15,10,1500,"[1372, 1083, 952, 918, 898, 783, 321, 155, 108, 19]","[224135521000000, 224135521000000, 224135521000000, 224135521000000, 224135521000000, 224135521000000, 224135521000000, 224135521000000, 224135521000000, 224135521000000]",1
18,LenLog_1_1_10_20_10_2000.csv,0,10,20,10,2000,"[1975, 1820, 1731, 1172, 909, 886, 854, 458, 373, 145]","[102203955000000, 102203955000000, 102203955000000, 102203955000000, 102203955000000, 102203955000000, 102203955000000, 102203955000000, 102203955000000, 102203955000000]",1
19,LenLog_1_1_10_25_10_2500.csv,0,10,25,10,2500,"[2299, 1680, 1647, 1538, 1235, 1205, 1074, 781, 422, 62]","[324060429000000, 324060429000000, 324060429000000, 324060429000000, 324060429000000, 324060429000000, 324060429000000, 324060429000000, 324060429000000, 324060429000000]",1
20,LenLog_1_1_15_5_1_7500.csv,0,15,5,1,7500,"[7354, 6148, 6080, 5699, 5557, 5147, 5131, 4940, 4671, 4177, 3484, 1515, 627, 538, 419]","[211225916000000, 211225916000000, 211225916000000, 211225916000000, 211225916000000, 211225916000000, 211225916000000, 211225916000000, 211225916000000, 211225916000000, 211225916000000, 211225916000000, 211225916000000, 211225916000000, 211225916000000]",1
21,LenLog_1_1_15_10_1_15000.csv,0,15,10,1,15000,"[10653, 9887, 9089, 8001, 7632, 6688, 6550, 6288, 5703, 5220, 4751, 2567, 2526, 2449, 1356]","[730015020000000, 730015020000000, 730015020000000, 730015020000000, 730015020000000, 730015020000000, 730015020000000, 730015020000000, 730015020000000, 730015020000000, 730015020000000, 730015020000000, 730015020000000, 730015020000000, 730015020000000]",1
22,LenLog_1_1_15_15_1_22500.csv,0,15,15,1,22500,"[20297, 19775, 19224, 16234, 15584, 11029, 9888, 9390, 9042, 7400, 7177, 6949, 5592, 3611, 2595]","[403064205000000, 403064205000000, 403064205000000, 403064205000000, 403064205000000, 403064205000000, 403064205000000, 403064205000000, 403064205000000, 403064205000000, 403064205000000, 403064205000000, 403064205000000, 403064205000000, 403064205000000]",1
23,LenLog_1_1_15_20_1_30000.csv,0,15,20,1,30000,"[25475, 24379, 23142, 21032, 20717, 20685, 20155, 19781, 17919, 15412, 12312, 11224, 8130, 4421, 1122]","[717011436000000, 717011436000000, 717011436000000, 717011436000000, 717011436000000, 717011436000000, 717011436000000, 717011436000000, 717011436000000, 717011436000000, 717011436000000, 717011436000000, 717011436000000, 717011436000000, 717011436000000]",1
24,LenLog_1_1_15_25_1_37500.csv,0,15,25,1,37500,"[25339, 20942, 19550, 16548, 15033, 14770, 10806, 9776, 8509, 8451, 6219, 1986, 1825, 1425, 849]","[726135511000000, 726135511000000, 726135511000000, 726135511000000, 726135511000000, 726135511000000, 726135511000000, 726135511000000, 726135511000000, 726135511000000, 726135511000000, 726135511000000, 726135511000000, 726135511000000, 726135511000000]",1
25,LenLog_1_1_15_5_2-5_3000.csv,0,15,5,2.5,3000,"[2993, 2961, 2556, 2536, 2356, 2162, 1974, 1964, 1741, 1420, 1250, 802, 663, 554, 310]","[411181507000000, 411181507000000, 411181507000000, 411181507000000, 411181507000000, 411181507000000, 411181507000000, 411181507000000, 411181507000000, 411181507000000, 411181507000000, 411181507000000, 411181507000000, 411181507000000, 411181507000000]",1
26,LenLog_1_1_15_10_2-5_6000.csv,0,15,10,2.5,6000,"[5985, 4728, 4533, 4472, 4163, 3429, 3354, 3307, 1696, 1590, 1292, 997, 726, 79, 44]","[324115516000000, 324115516000000, 324115516000000, 324115516000000, 324115516000000, 324115516000000, 324115516000000, 324115516000000, 324115516000000, 324115516000000, 324115516000000, 324115516000000, 324115516000000, 324115516000000, 324115516000000]",1
27,LenLog_1_1_15_15_2-5_9000.csv,0,15,15,2.5,9000,"[8695, 7672, 6772, 6663, 5281, 5212, 4456, 3514, 2860, 2783, 2476, 1537, 908, 618, 602]","[330051529000000, 330051529000000, 330051529000000, 330051529000000, 330051529000000, 330051529000000, 330051529000000, 330051529000000, 330051529000000, 330051529000000, 330051529000000, 330051529000000, 330051529000000, 330051529000000, 330051529000000]",1
28,LenLog_1_1_15_20_2-5_12000.csv,0,15,20,2.5,12000,"[11665, 11282, 10188, 9870, 9501, 9266, 9147, 8025, 7988, 7081, 6940, 4800, 3518, 2889, 1934]","[113040600000000, 113040600000000, 113040600000000, 113040600000000, 113040600000000, 113040600000000, 113040600000000, 113040600000000, 113040600000000, 113040600000000, 113040600000000, 113040600000000, 113040600000000, 113040600000000, 113040600000000]",1
29,LenLog_1_1_15_25_2-5_15000.csv,0,15,25,2.5,15000,"[14819, 11492, 11053, 9172, 7396, 7314, 4863, 4496, 3707, 3457, 3370, 3181, 2789, 2705, 1219]","[601053028000000, 601053028000000, 601053028000000, 601053028000000, 601053028000000, 601053028000000, 601053028000000, 601053028000000, 601053028000000, 601053028000000, 601053028000000, 601053028000000, 601053028000000, 601053028000000, 601053028000000]",1
30,LenLog_1_1_15_5_5_1500.csv,0,15,5,5,1500,"[1459, 1287, 1188, 1050, 561, 552, 534, 473, 378, 360, 301, 178, 171, 152, 116]","[816024406000000, 816024406000000, 816024406000000, 816024406000000, 816024406000000, 816024406000000, 816024406000000, 816024406000000, 816024406000000, 816024406000000, 816024406000000, 816024406000000, 816024406000000, 816024406000000, 816024406000000]",1
31,LenLog_1_1_15_10_5_3000.csv,0,15,10,5,3000,"[2731, 2495, 2387, 1973, 1942, 1912, 1766, 1419, 1391, 1040, 970, 935, 614, 438, 376]","[310060014000000, 310060014000000, 310060014000000, 310060014000000, 310060014000000, 310060014000000, 310060014000000, 310060014000000, 310060014000000, 310060014000000, 310060014000000, 310060014000000, 310060014000000, 310060014000000, 310060014000000]",1
32,LenLog_1_1_15_15_5_4500.csv,0,15,15,5,4500,"[4448, 4035, 3322, 2974, 2184, 2144, 1815, 1550, 1494, 1319, 1020, 998, 590, 526, 438]","[915025434000000, 915025434000000, 915025434000000, 915025434000000, 915025434000000, 915025434000000, 915025434000000, 915025434000000, 915025434000000, 915025434000000, 915025434000000, 915025434000000, 915025434000000, 915025434000000, 915025434000000]",1
33,LenLog_1_1_15_20_5_6000.csv,0,15,20,5,6000,"[5547, 5484, 4410, 3881, 3858, 2368, 2141, 2055, 1824, 1729, 1624, 1362, 440, 413, 196]","[927193720000000, 927193720000000, 927193720000000, 927193720000000, 927193720000000, 927193720000000, 927193720000000, 927193720000000, 927193720000000, 927193720000000, 927193720000000, 927193720000000, 927193720000000, 927193720000000, 927193720000000]",1
34,LenLog_1_1_15_25_5_7500.csv,0,15,25,5,7500,"[6887, 4639, 4470, 4327, 3912, 3141, 3060, 2922, 2218, 1823, 1763, 1422, 752, 666, 616]","[228094136000000, 228094136000000, 228094136000000, 228094136000000, 228094136000000, 228094136000000, 228094136000000, 228094136000000, 228094136000000, 228094136000000, 228094136000000, 228094136000000, 228094136000000, 228094136000000, 228094136000000]",1
35,LenLog_1_1_15_5_10_750.csv,0,15,5,10,750,"[706, 684, 585, 562, 479, 454, 433, 369, 360, 352, 326, 320, 274, 169, 104]","[1006053042000000, 1006053042000000, 1006053042000000, 1006053042000000, 1006053042000000, 1006053042000000, 1006053042000000, 1006053042000000, 1006053042000000, 1006053042000000, 1006053042000000, 1006053042000000, 1006053042000000, 1006053042000000, 1006053042000000]",1
36,LenLog_1_1_15_10_10_1500.csv,0,15,10,10,1500,"[1465, 1408, 1387, 1110, 1077, 838, 679, 637, 492, 397, 318, 253, 159, 45, 7]","[311173033000000, 311173033000000, 311173033000000, 311173033000000, 311173033000000, 311173033000000, 311173033000000, 311173033000000, 311173033000000, 311173033000000, 311173033000000, 311173033000000, 311173033000000, 311173033000000, 311173033000000]",1
37,LenLog_1_1_15_15_10_2250.csv,0,15,15,10,2250,"[2129, 2099, 2065, 1917, 1690, 1451, 1296, 1231, 1011, 969, 901, 422, 156, 131, 114]","[302094412000000, 302094412000000, 302094412000000, 302094412000000, 302094412000000, 302094412000000, 302094412000000, 302094412000000, 302094412000000, 302094412000000, 302094412000000, 302094412000000, 302094412000000, 302094412000000, 302094412000000]",1
38,LenLog_1_1_15_20_10_3000.csv,0,15,20,10,3000,"[2869, 2622, 2406, 2301, 1851, 1506, 1460, 1187, 1116, 920, 852, 533, 498, 388, 22]","[203083752000000, 203083752000000, 203083752000000, 203083752000000, 203083752000000, 203083752000000, 203083752000000, 203083752000000, 203083752000000, 203083752000000, 203083752000000, 203083752000000, 203083752000000, 203083752000000, 203083752000000]",1
39,LenLog_1_1_15_25_10_3750.csv,0,15,25,10,3750,"[3549, 3069, 2976, 2758, 2552, 2525, 2478, 2308, 2061, 1727, 1521, 1338, 555, 285, 182]","[629040952000000, 629040952000000, 629040952000000, 629040952000000, 629040952000000, 629040952000000, 629040952000000, 629040952000000, 629040952000000, 629040952000000, 629040952000000, 629040952000000, 629040952000000, 629040952000000, 629040952000000]",1
40,LenLog_1_1_20_5_1_10000.csv,0,20,5,1,10000,"[8830, 8655, 8588, 8308, 8251, 7160, 7061, 6940, 6891, 6049, 5857, 4036, 3610, 2232, 2068, 1293, 696, 682, 581, 399]","[715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000, 715010426000000]",1
41,LenLog_1_1_20_10_1_20000.csv,0,20,10,1,20000,"[19937, 19551, 19055, 18696, 18281, 18080, 17509, 16757, 13313, 12140, 10034, 9098, 8399, 7850, 7840, 7241, 6738, 5649, 2590, 1089]","[810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000, 810235755000000]",1
42,LenLog_1_1_20_15_1_30000.csv,0,20,15,1,30000,"[22751, 21951, 20708, 20155, 19625, 19382, 18369, 17446, 17409, 16156, 15158, 12789, 12392, 9187, 8518, 5047, 3409, 3144, 2377, 2231]","[110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000, 110021737000000]",1
43,LenLog_1_1_20_20_1_40000.csv,0,20,20,1,40000,"[39540, 36878, 33194, 32283, 32034, 29243, 26841, 26464, 24917, 22867, 22534, 20794, 11017, 10371, 9849, 6370, 5989, 4724, 4565, 4406]","[530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000, 530160209000000]",1
44,LenLog_1_1_20_25_1_50000.csv,0,20,25,1,50000,"[49314, 42141, 41497, 39402, 38180, 34300, 33925, 32296, 30993, 27939, 27145, 26317, 21192, 20528, 20384, 19742, 6699, 4998, 3618, 3421]","[701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000, 701054121000000]",1
45,LenLog_1_1_20_5_2-5_4000.csv,0,20,5,2.5,4000,"[3989, 3751, 3508, 3221, 3090, 3060, 2930, 2829, 2231, 2224, 1777, 1589, 1167, 1107, 1027, 962, 780, 665, 643, 250]","[1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000, 1107142914000000]",1
46,LenLog_1_1_20_10_2-5_8000.csv,0,20,10,2.5,8000,"[7857, 7629, 7481, 6458, 6347, 6272, 6148, 6058, 5402, 5298, 4252, 3496, 3005, 2288, 1793, 1691, 1632, 1530, 868, 209]","[208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000, 208020426000000]",1
47,LenLog_1_1_20_15_2-5_12000.csv,0,20,15,2.5,12000,"[11890, 11845, 9551, 9261, 8607, 7588, 6891, 6790, 6765, 6297, 5526, 5161, 4096, 3967, 3575, 3314, 3104, 1284, 715, 520]","[312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000, 312220712000000]",1
48,LenLog_1_1_20_20_2-5_16000.csv,0,20,20,2.5,16000,"[11677, 11024, 10411, 9428, 8909, 8877, 8853, 6335, 6251, 6118, 4774, 4224, 3124, 2550, 2369, 2202, 1666, 1288, 1091, 27]","[1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000, 1004183601000000]",1
49,LenLog_1_1_20_25_2-5_20000.csv,0,20,25,2.5,20000,"[19902, 18047, 17796, 17444, 17121, 15688, 15237, 15097, 14921, 13861, 12977, 9275, 7762, 4264, 3969, 3520, 3465, 1830, 1444, 1010]","[301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000, 301191906000000]",1
50,LenLog_1_1_20_5_5_2000.csv,0,20,5,5,2000,"[1756, 1668, 1424, 1405, 1228, 1220, 1213, 1062, 1052, 1035, 946, 823, 688, 641, 598, 482, 404, 333, 276, 30]","[512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000, 512233613000000]",1
51,LenLog_1_1_20_10_5_4000.csv,0,20,10,5,4000,"[3911, 3753, 3659, 3475, 3133, 2650, 2636, 2544, 2323, 2095, 1893, 1882, 1460, 1016, 964, 824, 742, 351, 248, 38]","[804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000, 804024833000000]",1
52,LenLog_1_1_20_15_5_6000.csv,0,20,15,5,6000,"[5555, 5445, 4971, 4907, 4551, 4450, 4365, 3104, 2662, 2628, 2610, 2380, 2241, 2011, 1829, 1434, 1270, 714, 697, 280]","[630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000, 630140217000000]",1
53,LenLog_1_1_20_20_5_8000.csv,0,20,20,5,8000,"[7828, 7070, 6055, 5949, 5776, 5726, 5114, 4749, 4171, 3768, 3388, 3361, 1625, 1568, 1290, 1118, 785, 703, 664, 144]","[529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000, 529153132000000]",1
54,LenLog_1_1_20_25_5_10000.csv,0,20,25,5,10000,"[9195, 8962, 8636, 8477, 8294, 7585, 7260, 6236, 6194, 5630, 5069, 5006, 4747, 4453, 4428, 4078, 2973, 2769, 2108, 1095]","[228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000, 228231920000000]",1
55,LenLog_1_1_20_5_10_1000.csv,0,20,5,10,1000,"[921, 863, 847, 834, 825, 779, 753, 740, 730, 634, 606, 578, 449, 374, 361, 246, 227, 136, 33, 1]","[1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000, 1002114204000000]",1
56,LenLog_1_1_20_10_10_2000.csv,0,20,10,10,2000,"[1858, 1780, 1657, 1647, 1598, 1540, 1521, 1472, 1228, 1158, 974, 804, 777, 658, 430, 349, 301, 115, 37, 11]","[907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000, 907181623000000]",1
57,LenLog_1_1_20_15_10_3000.csv,0,20,15,10,3000,"[2865, 2695, 2386, 2343, 2288, 2204, 1971, 1884, 1398, 1290, 1257, 1213, 1189, 1156, 1131, 927, 869, 480, 322, 19]","[104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000, 104173045000000]",1
58,LenLog_1_1_20_20_10_4000.csv,0,20,20,10,4000,"[3779, 3474, 3413, 3367, 3236, 3204, 2753, 2678, 2629, 2592, 2231, 2057, 1593, 1336, 1192, 1122, 586, 552, 336, 15]","[311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000, 311125408000000]",1
59,LenLog_1_1_20_25_10_5000.csv,0,20,25,10,5000,"[4645, 4576, 4241, 3525, 3446, 3219, 3057, 3011, 2703, 2440, 2368, 1842, 1319, 1168, 1032, 914, 819, 614, 485, 206]","[205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000, 205104250000000]",1
60,LenLog_1_1_30_5_1_15000.csv,0,30,5,1,15000,"[14844, 14333, 14026, 13174, 13119, 12718, 11907, 11030, 10504, 10032, 9640, 8379, 8267, 7986, 7829, 6635, 6540, 6112, 5010, 4801, 4334, 4228, 3822, 3769, 1818, 1767, 1590, 1515, 911, 150]","[115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000, 115224157000000]",1
61,LenLog_1_1_30_10_1_30000.csv,0,30,10,1,30000,"[29097, 28950, 26412, 26193, 25973, 24816, 24277, 22010, 20859, 19986, 19241, 18716, 17033, 16671, 15736, 15574, 15408, 12187, 11266, 9992, 8863, 8361, 8307, 6601, 4129, 3691, 3466, 2923, 2275, 1695]","[721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000, 721111447000000]",1
62,LenLog_1_1_30_15_1_45000.csv,0,30,15,1,45000,"[43143, 42462, 40166, 38055, 34846, 34535, 32623, 31529, 29570, 28649, 27129, 27029, 26549, 25977, 24908, 22130, 20769, 20491, 19835, 19190, 17240, 16940, 14309, 13885, 13742, 10907, 8818, 8586, 7722, 1177]","[130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000, 130012331000000]",1
63,LenLog_1_1_30_20_1_60000.csv,0,30,20,1,60000,"[59168, 53912, 51029, 46829, 45794, 45056, 44117, 43657, 43358, 41706, 40259, 40120, 35307, 34113, 30955, 28872, 28300, 21969, 21765, 14347, 13248, 12488, 11079, 8884, 6182, 5071, 4905, 2959, 1630, 1372]","[811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000, 811024239000000]",1
